tweet_id,tweet_body,retweet_count,reply_count,like_count,quote_count,view_count,bookmark_count,date,clean_text,Open,Close,Volume,pct_change,roberta_sentiment,roberta_neg_score,roberta_neu_score,roberta_pos_score
1655978502187778073,Yup,3255,3747,39533,225.0,11392206.0,281,2023-05-09,yup,168.9499969482422,169.14999389648438,88965000,0.1183764142377916,neutral,0.21528803,0.49430028,0.29041177
1655968899903418373,Massive public manipulation,9811,2694,49528,534.0,14404853.0,1241,2023-05-09,massive public manipulation,168.9499969482422,169.14999389648438,88965000,0.1183764142377916,negative,0.72384983,0.26660088,0.009549329
1646228474628280326,🤣🤣,10198,5076,108462,430.0,16690340.0,340,2023-04-12,,190.7400054931641,180.5399932861328,150256300,-5.347599828708632,neutral,0.23530848,0.45428783,0.31040373
1640171198091866114,Prescient,9193,5118,56272,572.0,25169601.0,3792,2023-03-27,prescient,194.4199981689453,191.8099975585937,120851600,-1.342454806569629,neutral,0.12656617,0.66871125,0.20472254
1742235895166652609,Congratulations Tesla team on a great year!!,5222,4154,67751,248.0,17889197.0,283,2024-01-02,congratulations tesla team on a great year,250.0800018310547,248.4199981689453,104654200,-0.663789047486818,positive,0.0013376971,0.0071217613,0.9915405
1674226170488057856,Improved longform posts,10230,6767,87154,661.0,32722102.0,462,2023-06-29,improved longform posts,258.0299987792969,257.5,131283400,-0.2054020004666991,positive,0.0102380095,0.39490077,0.5948613
1673832186796179456,Prelude to Mars,14390,9199,177494,870.0,39561436.0,503,2023-06-27,prelude to mars,243.2400054931641,250.2100067138672,164968200,2.865483088018997,neutral,0.12362604,0.7932776,0.08309632
1673564912948326400,Key milestone completed for flight 2,15806,6852,188012,682.0,38172495.0,603,2023-06-27,key milestone completed for flight 2,243.2400054931641,250.2100067138672,164968200,2.865483088018997,positive,0.0023650446,0.44571346,0.55192155
1673402963757244420,"“Ads” like this where you learn or are entertained are great, as they’re effectively content.

Consider Vogue Magazine, which consists mostly of “advertisements”, but they’re so beautiful that they’re worth seeing in &amp; of themselves.",6439,4242,63926,426.0,29968049.0,1913,2023-06-26,ads like this where you learn or are entertained are great as theyre effectively content consider vogue magazine which consists mostly of advertisements but theyre so beautiful that theyre worth seeing in amp of themselves,250.07000732421875,241.0500030517578,179990600,-3.6069916456500097,positive,0.0024899843,0.027561339,0.9699487
1671360205056098304,Great conversation with @NarendraModi,47334,17795,481870,2922.0,71936383.0,1651,2023-06-21,great conversation with,275.1300048828125,259.4599914550781,211797100,-5.695494184434294,positive,0.0026268594,0.10709142,0.8902817
1668843112955891712,Bold,49375,18263,334997,2189.0,127858792.0,6344,2023-06-14,bold,260.1700134277344,256.7900085449219,170575500,-1.29915236513271,neutral,0.13276197,0.68539995,0.18183812
1668829554448777216,Why ESG is the devil …,21620,7906,132452,1266.0,36738967.0,2296,2023-06-14,why esg is the devil,260.1700134277344,256.7900085449219,170575500,-1.29915236513271,negative,0.68675756,0.29838386,0.014858496
1667309340007735296,Big difference,5494,2848,53264,181.0,18705375.0,192,2023-06-09,big difference,249.07000732421875,244.3999938964844,199882300,-1.874980242665392,neutral,0.10280601,0.63537365,0.26182044
