tweet_id,date,tweet_body,roberta_sentiment,roberta_pos_score,roberta_neg_score,roberta_neu_score,sentiment_polarity,like_count,retweet_count,engagement_score,Open,Close,pct_change
1655978502187778073,2023-05-09,Yup,neutral,0.29041177,0.21528803,0.49430028,0.07512374,39533,3255,42788,168.9499969482422,169.14999389648438,0.1183764142377916
1655968899903418373,2023-05-09,Massive public manipulation,negative,0.009549329,0.72384983,0.26660088,-0.7143005,49528,9811,59339,168.9499969482422,169.14999389648438,0.1183764142377916
1646228474628280326,2023-04-12,🤣🤣,neutral,0.31040373,0.23530848,0.45428783,0.07509525,108462,10198,118660,190.7400054931641,180.5399932861328,-5.347599828708632
1640171198091866114,2023-03-27,Prescient,neutral,0.20472254,0.12656617,0.66871125,0.07815637,56272,9193,65465,194.4199981689453,191.8099975585937,-1.342454806569629
1742235895166652609,2024-01-02,Congratulations Tesla team on a great year!!,positive,0.9915405,0.0013376971,0.0071217613,0.9902028,67751,5222,72973,250.0800018310547,248.4199981689453,-0.663789047486818
1674226170488057856,2023-06-29,Improved longform posts,positive,0.5948613,0.0102380095,0.39490077,0.58462334,87154,10230,97384,258.0299987792969,257.5,-0.2054020004666991
1673832186796179456,2023-06-27,Prelude to Mars,neutral,0.08309632,0.12362604,0.7932776,-0.04052972,177494,14390,191884,243.2400054931641,250.2100067138672,2.865483088018997
1673564912948326400,2023-06-27,Key milestone completed for flight 2,positive,0.55192155,0.0023650446,0.44571346,0.5495565,188012,15806,203818,243.2400054931641,250.2100067138672,2.865483088018997
1673402963757244420,2023-06-26,"“Ads” like this where you learn or are entertained are great, as they’re effectively content.

Consider Vogue Magazine, which consists mostly of “advertisements”, but they’re so beautiful that they’re worth seeing in &amp; of themselves.",positive,0.9699487,0.0024899843,0.027561339,0.9674587,63926,6439,70365,250.07000732421875,241.0500030517578,-3.6069916456500097
1671360205056098304,2023-06-21,Great conversation with @NarendraModi,positive,0.8902817,0.0026268594,0.10709142,0.88765484,481870,47334,529204,275.1300048828125,259.4599914550781,-5.695494184434294
1668843112955891712,2023-06-14,Bold,neutral,0.18183812,0.13276197,0.68539995,0.049076155,334997,49375,384372,260.1700134277344,256.7900085449219,-1.29915236513271
1668829554448777216,2023-06-14,Why ESG is the devil …,negative,0.014858496,0.68675756,0.29838386,-0.6718991,132452,21620,154072,260.1700134277344,256.7900085449219,-1.29915236513271
1667309340007735296,2023-06-09,Big difference,neutral,0.26182044,0.10280601,0.63537365,0.15901443,53264,5494,58758,249.07000732421875,244.3999938964844,-1.874980242665392
1666945495334256642,2023-06-08,"It’d be great to have @maddow, @donlemon &amp; others on the left put their shows on this platform. No exclusivity or legal docs required!

You will receive our full support. The digital town square is for all.",positive,0.96002597,0.0014473172,0.038526773,0.95857865,203201,27520,230721,224.22000122070312,234.8600006103516,4.745339100759059
1666914689496891394,2023-06-08,Great to work with you!,positive,0.9836067,0.0015649336,0.014828411,0.9820418,97795,9353,107148,224.22000122070312,234.8600006103516,4.745339100759059
1666232126172176384,2023-06-06,Would be great to have shows from all parts of the political spectrum on this platform!,positive,0.92496943,0.0031703457,0.07186021,0.92179906,305987,39371,345358,216.13999938964844,221.3099975585937,2.3919673283726723
1664609193230204929,2023-06-02,Every parent should watch this,positive,0.5955205,0.022859607,0.38161984,0.57266086,479104,130691,609795,210.1499938964844,213.97000122070312,1.8177527647706615
1664187538330775552,2023-06-01,38 astronauts to orbit so far!,neutral,0.35506892,0.00884172,0.63608927,0.3462272,105355,10191,115546,202.58999633789065,207.5200042724609,2.433490312299389
1662193436684951556,2023-05-26,"Lot of noise about @RonDeSantis announcing &amp; discussing his Presidential bid on this platform. 

But you what isn’t noise? Setting an all-time record for fundraising!

Worth considering for announcements in general.",neutral,0.35650384,0.09678135,0.5467147,0.2597225,73998,8033,82031,184.6199951171875,193.1699981689453,4.631135997122468
1661897511337082880,2023-05-26,Congratulations Neuralink team!,positive,0.9714019,0.0014976572,0.027100442,0.9699042,108889,11187,120076,184.6199951171875,193.1699981689453,4.631135997122468
1661525947022180352,2023-05-25,🇺🇸🇺🇸 Untamed Free Speech FTW 🇺🇸🇺🇸,neutral,0.1250954,0.20088719,0.6740174,-0.07579179,84573,9385,93958,186.5399932861328,184.47000122070312,-1.1096773560265636
1661059564593201184,2023-05-23,And works almost everywhere on Earth with global roaming enabled!,positive,0.7394595,0.0059316573,0.25460875,0.73352784,81396,9575,90971,186.1999969482422,185.7700042724609,-0.23093054931725
1659602548360351744,2023-05-19,One hell of a plasma beam!,positive,0.4733502,0.07202203,0.4546278,0.40132818,229293,18679,247972,177.1699981689453,180.13999938964844,1.6763567485455404
1659256261068595201,2023-05-18,Walter is incredibly thorough in his research. Highly recommend his other books!,positive,0.9764624,0.0016876664,0.021849949,0.9747748,27180,2596,29776,174.22000122070312,176.88999938964844,1.532543996233211
1659255118196355073,2023-05-18,Was the Internet Archive manipulated for nepotistic reasons?,negative,0.011522344,0.5284269,0.46005067,-0.51690453,10914,1739,12653,174.22000122070312,176.88999938964844,1.532543996233211
1658918251861082120,2023-05-17,"Love to see Starlink providing great connectivity to those who had little or nothing before. 

As soon as you can access the Internet, you can learn almost anything, so it’s absolutely essential for education.

@khanacademy being a great example.",positive,0.96248627,0.0032840972,0.034229606,0.9592022,82692,9247,91939,168.41000366210938,173.86000061035156,3.236147989864562
1658564606984441859,2023-05-16,Tesla shareholder meeting underway,neutral,0.04805911,0.040370468,0.91157037,0.0076886415,42667,4033,46700,165.64999389648438,166.52000427246094,0.52521002597817
1658525853934813201,2023-05-16,"As more satellites &amp; ground stations are added, latency &amp; jitter will improve. Goal is &lt;20ms latency.",positive,0.603354,0.01473751,0.38190845,0.5886165,39480,4050,43530,165.64999389648438,166.52000427246094,0.52521002597817
1658284090691338241,2023-05-16,"Tesla Powerwall does the seem for individual homes (if you have the backup switch installed)
https://t.co/mY2WHe1KE1",neutral,0.05733535,0.053907823,0.88875675,0.0034275278,39552,5199,44751,165.64999389648438,166.52000427246094,0.52521002597817
1656720044666281984,2023-05-11,"Super easy to use Starlink out of the box, no professional installer needed!",positive,0.9368315,0.0038100944,0.059358444,0.93302137,41832,4662,46494,168.6999969482422,172.0800018310547,2.0035595399859423
1656692047791919105,2023-05-11,Thanks Dave!,positive,0.8966646,0.0040453053,0.09929002,0.8926193,37620,3141,40761,168.6999969482422,172.0800018310547,2.0035595399859423
1656142626754822144,2023-05-10,Congratulations Tesla Texas Team!!,positive,0.9801886,0.0011629524,0.01864843,0.97902566,58690,4199,62889,172.5500030517578,168.5399932861328,-2.323969686875152
1656079504778092544,2023-05-09,"On this platform, unlike the one-way street of broadcast, people are able to interact, critique and refute whatever is said. 

And, of course, anything misleading will get @CommunityNotes. 

I also want to be clear that we have not signed a deal of any kind whatsoever. Tucker is",neutral,0.07873622,0.3445432,0.5767206,-0.26580697,284376,36348,320724,168.9499969482422,169.14999389648438,0.1183764142377916
1655967673107337216,2023-05-09,WhatsApp cannot be trusted,negative,0.004372126,0.89164406,0.10398378,-0.88727194,254646,43017,297663,168.9499969482422,169.14999389648438,0.1183764142377916
1655661734244261891,2023-05-08,Livestream starting soon,neutral,0.11675685,0.014022226,0.86922085,0.102734625,20426,1754,22180,173.72000122070312,171.7899932861328,-1.1109877509834505
1653420591607607297,2023-05-02,Sunset in space,neutral,0.18118736,0.014543624,0.804269,0.16664374,83915,7358,91273,161.8800048828125,160.30999755859375,-0.9698587082174251
1652048146195959809,2023-04-28,"Content creators can now enable subscriptions to their text, pics &amp; video worldwide on this platform!",positive,0.8247338,0.0027274883,0.17253876,0.8220063,41025,5578,46603,160.89999389648438,164.30999755859375,2.119331132046664
1651602599345373186,2023-04-27,"Anyone making materially false statements on this platform will get Community Noted, including you, me, Tucker, advertisers, head of state, etc. No exceptions. 

Convince the people and let the chips fall where they may. 

@CommunityNotes",negative,0.02697696,0.60211533,0.37090775,-0.5751384,112789,13279,126068,152.63999938964844,160.19000244140625,4.946280845091401
1650614277244436480,2023-04-24,"We’re rapidly improving transparency &amp; fairness on this platform, but there is still a lot of work to do",positive,0.64865845,0.032112703,0.31922883,0.61654574,56337,5823,62160,164.64999389648438,162.5500030517578,-1.275427222941064
1649039669190098947,2023-04-20,10 minutes to launch,neutral,0.10131486,0.04483944,0.8538457,0.056475416,82545,7814,90359,166.1699981689453,162.99000549316406,-1.9136984478679155
1648902780038393856,2023-04-20,All systems currently green for launch,neutral,0.16446203,0.0064685526,0.8290695,0.15799348,152122,14054,166176,166.1699981689453,162.99000549316406,-1.9136984478679155
1647023634899169281,2023-04-14,"Success maybe, excitement guaranteed!",positive,0.91427326,0.00339349,0.08233326,0.9108798,153334,13494,166828,183.9499969482422,185.0,0.5708089530728564
1646260326009303041,2023-04-12,@NPR Hello?,neutral,0.129601,0.06137774,0.8090212,0.06822326,22161,1980,24141,190.7400054931641,180.5399932861328,-5.347599828708632
1646187123077447680,2023-04-12,This time with video &amp; better audio,neutral,0.46239385,0.015347853,0.5222583,0.44704598,300048,48385,348433,190.7400054931641,180.5399932861328,-5.347599828708632
1646051952042680322,2023-04-12,Penetrating deep &amp; hard with @BBC,neutral,0.1303115,0.044324476,0.82536405,0.08598703,158286,20371,178657,190.7400054931641,180.5399932861328,-5.347599828708632
1644095821753856002,2023-04-06,"Starship is stacked &amp; ready to launch next week, pending regulatory approval",positive,0.8034766,0.0014555346,0.19506788,0.802021,79772,8621,88393,183.0800018310547,185.0599975585937,1.081492084190694
1631042709141037056,2023-03-01,…,neutral,0.21938628,0.15919147,0.6214223,0.060194805,25980,2455,28435,206.2100067138672,202.7700042724609,-1.6682034476530307
1624150045611401221,2023-02-10,https://t.co/Q1VvqV5G0i,neutral,0.06151444,0.1468487,0.7916369,-0.08533426,34400,2814,37214,202.22999572753903,196.88999938964844,-2.6405560256674687
1622773181013696512,2023-02-07,rtfm,neutral,0.20530513,0.22215159,0.5725432,-0.016846463,25253,2135,27388,196.42999267578125,196.8099975585937,0.1934556315133051
1575972110945558528,2022-09-30,Webcast link,neutral,0.107558385,0.12546831,0.7669733,-0.01790993,15303,1422,16725,266.1499938964844,265.25,-0.3381528901460039
1352757268626849797,2021-01-22,Launching many small satellites for a wide range of customers tomorrow. Excited about offering low-cost access to orbit for small companies!,positive,0.97438556,0.00084437605,0.02477006,0.9735412,66906,4546,71452,278.10333251953125,282.2133178710937,1.4778626758360751
1347366324826112001,2021-01-08,Launch underway,neutral,0.16932899,0.089689605,0.7409814,0.07963938,78924,4694,83618,285.3333435058594,293.3399963378906,2.8060698177277104
1341914659411161088,2020-12-24,12 story rocket turns off its engines &amp; does a controlled fall,neutral,0.09680837,0.06674102,0.83645064,0.030067347,89174,7360,96534,214.3300018310547,220.58999633789065,2.9207271279596205
1336808486022258688,2020-12-09,"Successful ascent, switchover to header tanks &amp; precise flap control to landing point!",positive,0.63229036,0.008249641,0.35946003,0.6240407,97855,8995,106850,217.89666748046875,201.4933319091797,-7.528034164524054
1331420412387880962,2020-11-25,"This is a life leader launch, so more risk than normal",negative,0.037608396,0.5753278,0.3870638,-0.5377194,27717,1272,28989,183.35333251953125,191.3333282470703,4.352250170685616
1323288694955061257,2020-11-02,Very close to actual expected flight!,positive,0.6137655,0.004167889,0.38206664,0.60959756,42548,2667,45215,131.3333282470703,133.50332641601562,1.6522829337447476
1313445121325580289,2020-10-06,4th flight &amp; landing for this booster,neutral,0.069601454,0.011017587,0.9193809,0.058583867,31337,2271,33608,141.26333618164062,137.9933319091797,-2.3148287169547435
1313440040991694849,2020-10-06,5 minutes from launch. Looks good so far.,positive,0.98060673,0.0014589588,0.017934276,0.9791478,34765,2104,36869,141.26333618164062,137.9933319091797,-2.3148287169547435
1301757211727757312,2020-09-04,Model 3 rated as most reliable car,positive,0.7542147,0.0033704457,0.2424149,0.75084424,36383,2069,38452,134.27000427246094,139.44000244140625,3.850449098410947
1301747460587560960,2020-09-04,Turns out you can make anything fly haha,positive,0.8917529,0.0038569618,0.10439016,0.88789594,148949,11906,160855,134.27000427246094,139.44000244140625,3.850449098410947
1298494373278220290,2020-08-26,"Live webcast of working @Neuralink device
Friday 3pm Pacific",neutral,0.07232823,0.0066140033,0.92105776,0.065714225,39678,7385,47063,137.3333282470703,143.54466247558594,4.522816353318904
1296525166520840192,2020-08-20,More fun games coming soon to ur Tesla,positive,0.9626315,0.001092355,0.036276083,0.96153915,218198,24746,242944,124.04533386230467,133.45533752441406,7.585939244240233
1295210012122460167,2020-08-17,Cybertruck option package,neutral,0.08797478,0.074913606,0.83711165,0.013061173,173334,10989,184323,111.8000030517578,122.3759994506836,9.459746073557476
1295177746012950536,2020-08-17,Some big milestones coming up,positive,0.72563475,0.0032432822,0.27112192,0.7223915,33645,1975,35620,111.8000030517578,122.3759994506836,9.459746073557476
1294403633086226433,2020-08-14,Great mission patch design!,positive,0.95578384,0.0035905733,0.04062554,0.95219326,22831,1135,23966,110.99933624267578,110.04733276367188,-0.8576659205624065
1291784200178159616,2020-08-07,Good piece on Giga Berlin construction,positive,0.84743196,0.008087362,0.14448069,0.8393446,19467,1012,20479,99.96932983398438,96.84733581542967,-3.1229518330664914
1666498907986092046,2023-06-07,💕,positive,0.7551688,0.019463748,0.22536752,0.735705,52565,7968,60533,228.0,224.57000732421875,-1.504382752535636
1664610007369875458,2023-06-02,Insane,negative,0.060281843,0.6505536,0.2891646,-0.5902717,152304,27461,179765,210.1499938964844,213.97000122070312,1.8177527647706615
1659367834919612417,2023-05-19,🤯🤯,neutral,0.3849425,0.15239295,0.4626646,0.23254955,66028,12558,78586,177.1699981689453,180.13999938964844,1.6763567485455404
1656916330484752384,2023-05-12,Wow,neutral,0.3655005,0.08722468,0.5472748,0.27827585,77844,14343,92187,176.07000732421875,167.97999572753906,-4.594769841624748
1573144936756965376,2022-09-23,Starlink connecting schools in the Amazon,neutral,0.31268692,0.013615051,0.673698,0.29907188,119095,11012,130107,283.0899963378906,275.3299865722656,-2.741181202448004
